lang,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6,Col 7,Col 8,Col 9,Col 10,Col 11,Col 12,Col 13,Col 14,Col 15,Col 16,Col 17,Col 18
ar,2.817100475200697,2.1872283992763553,0.5409890458179379,1.437070823452454,-0.7893803774226039,-0.902947550655918,0.0848696502783576,-0.4161726308435688,-0.16343467888156632,0.19648547755653345,0.3366729539189357,0.2816723067392812,0.11025621487150214,-0.035685566047669086,-0.11064831157843874,-0.13268983442291518,0.04485565761799398,3.1554436208840472e-30
en,0.6938368240715564,-1.2068342515322275,1.1324293404986894,1.2026004327692312,-0.47831921630354285,2.039000287272645,-1.5099744058641786,0.9184072286751035,1.417839885198159,-0.8061235539391914,0.29655218633777375,-1.3961450869722865,0.09026388114056463,-0.3241193050473437,0.07892036116698248,0.06783331808913337,-0.04890243936331105,-1.9721522630525295e-30
eu,0.2811992068741718,1.02634459317298,-1.2761215758724438,-1.0954594375037128,1.2935581299108665,0.6970705542673743,1.6444486642035734,0.5766533013927919,2.0606128296713075,-0.667687442016974,1.348547731550254,-0.22508439542429662,0.6882428240840635,0.8170281980656003,-0.2811736445118244,0.2100567211823415,0.13234147126304197,-1.9721522630525295e-30
fi,0.39610246327337245,-0.7907833110976086,-0.30373195571296335,-0.5937299025155185,-1.0040531062123654,0.6769823985892711,0.27949540495700725,-1.0849233944481294,-1.6703276664094342,-0.8623541390328865,0.8737501436537459,0.0019199303621280867,-0.2135480003860192,1.1141016883713515,-0.021749045712484563,2.7325814748240425,-4.6037627911714967e-05,-3.944304526105059e-30
he,0.9980072652734061,-0.03406569477390891,0.2892007447370347,-1.4199779112152426,1.69561617385803,-0.5919029211841088,-1.155825290867501,2.1307186662126476,-1.701572486088832,-0.19206757324920082,-0.7376458508498333,-0.4923022514383313,0.13416990162839226,0.5808211816944219,-0.295716160296949,-0.15617931688997225,0.7845843822341704,-2.3665827156630354e-30
hi,-0.2593387605081388,0.5752044036315233,-0.3168316213363262,0.6229657477867451,0.15003452363638875,1.5118972291528234,1.5796629903030557,1.4828969901048716,-0.7019547239244476,0.8627208513553779,-1.0730431208819957,0.5752017551031654,-1.8351135330243953,-1.00094139696621,0.8020036797417855,0.502919149889691,-1.0610293271651954,-1.5777218104420236e-30
it,0.4164626135784104,-0.28595730112607376,1.0028154045982764,-1.252222300482847,0.7525351968631612,0.03172720615087844,-0.9959440683702077,-1.400025657461614,1.5026744943852242,-0.03424426498022885,-0.9340127532458744,2.010202909810991,-1.7662017893460324,0.22924950830897756,-0.5266391180034155,0.1142462908488059,-0.12989103112120737,4.733165431326071e-30
ja,-0.4129886385094691,-0.06582142992370642,-1.5974419641644844,-0.02387591741950435,-0.7183799215666141,-1.3090685696224758,-1.162200988066642,0.2358428800778044,1.1282336754170916,2.3951393542795283,-0.16795316259200846,-1.3013626470834108,-0.6591760266937373,0.11105703110373426,-0.07866625919618692,1.1676963912781155,0.29790452398569134,-1.5777218104420236e-30
ko,-0.47567131740987795,-0.7762721130470734,-0.9284036610979339,0.29623276416202127,-0.6362464150396845,-0.8196770296161202,-0.8713821821101668,1.1726883020342111,-0.35653193661624233,-0.49542939974625183,2.4273858941416626,1.9903353619962678,-0.3351586984125162,-0.9271856582517072,-0.027967041217513727,-0.8367083878227607,-0.3334612081638689,0.0
ru,0.6975628391425731,-0.4315360345674897,-0.552972079103842,-1.1818539032469957,0.020693765270826673,1.6896266648697413,-0.23899629529109373,-1.4153179646587253,-0.8243320985020146,1.906144888335118,0.25933997826616173,0.13892912363625617,1.535727851532393,-0.8443941482017895,0.5844467649401824,-1.375108433373907,-0.0753809848498951,-3.944304526105059e-31
sv,0.06593602110840173,-1.3861722957316822,2.1927588445347066,-1.0784205269259037,-1.1903483608908043,-1.386319218487351,2.059927509363134,0.5633657115226165,0.4188574875563643,0.6496840878811003,0.2506849608844119,-0.5241050709640536,0.2632961316528082,-0.20267851905326584,-0.038642555875547324,-0.36401817086473837,-0.15504246220887777,7.888609052210118e-31
tr,0.14436724470851003,0.023094926687247247,-1.536615629547721,-0.8842815367335266,-1.4274576362899274,-0.6855215355488793,-0.033527104884233855,-0.31757354447518793,0.2613507505914831,-2.20125656827462,-1.8869437065358032,-0.5491968732860568,0.22575883292644242,-0.8405639553248597,0.9519918922046244,-0.7837182708752273,-0.41461432173822405,1.9721522630525295e-30
zh,0.5030763473214775,-2.1089932636734243,-0.8755618509871416,2.115072103900281,1.9402744574343607,-0.9360297625346964,0.9422942348737936,-0.8911280679066662,-0.12116083677304383,-0.12795726884461248,-0.665902926910537,0.06019186982106733,0.41696232510529796,0.10715932818113669,-0.23125507480063612,-0.10683064943169995,-0.08799726247676136,2.3665827156630354e-30
ta,-1.2808682552118718,0.861746260880765,0.49830880912193104,0.24627592102047116,-0.0052674569361474384,-0.05339311392324449,-0.44822749062182876,0.17859623520848358,-0.10320929285861745,-0.013661745486930733,-0.8057581367378183,0.45204981072610134,1.972492860840027,-0.5885373300067386,-2.2358667394130207,0.8722419275295491,-1.7918367636812467,7.888609052210118e-31
te,-1.1259636781868079,0.45622646368766095,0.11898589088818325,0.55056257142462,-0.5040472418933103,0.5145642240886286,0.5307366093844925,-0.1830895830963328,-0.180190126872088,-0.2100192729788054,-0.4712032243331578,0.41827239149108886,0.06200602153849168,-0.8485695130352828,-1.0441317861401431,-0.061008527666178244,3.475821381172066,3.944304526105059e-31
mr,-1.2692855098519236,0.5385427321162813,0.7918386137029398,0.6980438375477175,0.029538712481652504,-0.23032999066313595,-0.4498461594162957,0.24546596670041004,0.2919558773535156,0.2075935467908672,-0.4315049866003031,1.084182225990921,1.3264573449923345,1.7450250062534123,2.693329642287753,0.21978014911596078,0.26676333833653604,-7.888609052210118e-31
sa,-1.2205084715715369,1.0680839605384698,0.972782200357024,-0.08762065002919588,1.4910158370335798,-0.6643938180537102,-0.3401215307473282,-1.339353646646092,-0.5241858687536034,-0.5938529249853903,1.2305023776591708,-1.656379067465288,-0.8227728250749577,-1.511208028455789,0.9437424365716486,0.08384875619752566,-0.3129374580882014,-1.9721522630525295e-30
np,-0.9690266693029509,0.34996395548191184,-0.15242855643386707,0.4486178840089059,-0.619767063933866,0.4187149458982776,0.08461045287606243,-0.45705079239262336,-0.7346252844932553,-0.013114052663432437,0.1505316422752153,-0.8683822930435453,-1.1936633173746598,2.419441478412021,-1.1619790401668164,-2.1549425876077675,-0.591131458124799,2.3665827156630354e-30
